photo_id,filename,x1,y1,x2,y2,conf,blur_score,task,Score A,Score B,Score C,Load Factor,Activity score,Coupling Factor,RScore A,RScoreB,RScoreC,Frebascore
53,1_VID_20231026_123736025__f004140__t005.jpg,148.3213654,327.1118774,473.3453979,1075.549561,0.930015922,896.9674344,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
55,1_VID_20231026_123736025__f004224__t002.jpg,544.7218018,510.3908997,872.3700562,1051.876465,0.916622996,936.5871325,DEM,6,4,7,2.0,1.0,1.0,8.0,5.0,10.0,11.0
56,1_VID_20231026_123736025__f004259__t005.jpg,158.2620697,353.305603,479.2515259,1098.584961,0.924637794,915.2225624,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
58,1_VID_20231026_123736025__f004334__t005.jpg,155.473526,365.5899353,478.5632019,1113.281738,0.927969158,864.8240944,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
59,1_VID_20231026_123736025__f004465__t005.jpg,130.9447479,409.9641724,456.6220703,1153.278564,0.91935581,873.9392824,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
60,1_VID_20231026_123736025__f004485__t002.jpg,474.999115,564.5772095,815.1480713,1125.027588,0.912539721,857.6410052,DEM,5,4,5,2.0,1.0,1.0,7.0,5.0,9.0,10.0
62,1_VID_20231026_123736025__f004616__t005.jpg,137.6852417,404.6657104,460.8895264,1150.326904,0.912932813,960.6941726,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
63,1_VID_20231026_123736025__f004710__t005.jpg,101.3488464,404.0083618,454.5745239,1145.621216,0.909304261,873.1614939,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
65,1_VID_20231026_123736025__f004757__t005.jpg,89.16760254,413.9877625,417.2852783,1178.698486,0.927896678,970.2005348,DEM,2,1,1,2.0,1.0,1.0,4.0,2.0,4.0,5.0
66,1_VID_20231026_123736025__f004795__t002.jpg,485.8652344,645.621521,750.1291504,1148.985229,0.896968484,968.4502149,DEM,5,4,5,2.0,1.0,1.0,7.0,5.0,9.0,10.0
68,1_VID_20231026_123736025__f004876__t005.jpg,103.2217255,414.7767334,421.1301575,1189.386963,0.928565025,879.2448785,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
69,1_VID_20231026_123736025__f004916__t002.jpg,537.9276733,618.9694214,874.3113403,1131.415649,0.900155365,915.4209531,DEM,6,4,7,2.0,1.0,1.0,8.0,5.0,10.0,11.0
71,1_VID_20231026_123736025__f004984__t005.jpg,121.2510529,399.6340332,428.5407104,1174.515503,0.927795351,916.9922906,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
72,1_VID_20231026_123736025__f005071__t005.jpg,123.8816376,383.7729797,427.6940918,1160.358032,0.928880692,926.7040162,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
74,1_VID_20231026_123736025__f005159__t005.jpg,199.2117767,371.8199158,419.7583923,1148.282349,0.919544101,820.6461482,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
75,1_VID_20231026_123736025__f005159__t002.jpg,681.276001,558.968689,975.0241699,1098.028687,0.920138061,820.6461482,DEM,6,2,6,2.0,1.0,1.0,8.0,3.0,8.0,9.0
77,1_VID_20231026_123736025__f005371__t005.jpg,186.670105,371.1781616,404.4515991,1151.41748,0.912009239,908.9223611,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
79,1_VID_20231026_123736025__f005461__t005.jpg,194.1123199,366.3486938,410.6105652,1146.329468,0.915904284,885.0930517,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
80,1_VID_20231026_123736025__f005481__t002.jpg,648.6375122,602.8129272,910.8186646,1118.135376,0.887839258,871.8512902,DEM,4,4,4,2.0,1.0,1.0,6.0,5.0,8.0,9.0
81,1_VID_20231026_123736025__f005551__t005.jpg,93.98053741,473.052124,349.2192078,1235.613892,0.920198023,897.0132959,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
84,1_VID_20231026_123736025__f005740__t005.jpg,81.30391693,775.4251099,379.2183228,1209.864502,0.9113428,821.5307106,DEM,7,1,7,2.0,1.0,1.0,9.0,2.0,9.0,10.0
85,1_VID_20231026_123736025__f005774__t005.jpg,87.34476471,783.0179443,385.7620544,1209.488281,0.921507597,925.7955814,DEM,6,1,6,2.0,1.0,1.0,8.0,2.0,8.0,9.0
87,1_VID_20231026_123736025__f005864__t005.jpg,53.7298317,688.4110107,352.0391541,1118.31897,0.920392811,961.0264845,DEM,5,1,4,2.0,1.0,1.0,7.0,2.0,7.0,8.0
89,1_VID_20231026_123736025__f005897__t005.jpg,57.57933807,678.8844604,349.3087769,1104.986206,0.913986981,891.0947983,DEM,5,1,4,2.0,1.0,1.0,7.0,2.0,7.0,8.0
90,1_VID_20231026_123736025__f005986__t002.jpg,355.7408447,551.1572266,663.2737427,1124.877197,0.90934664,863.8698641,DEM,6,4,7,2.0,1.0,1.0,8.0,5.0,10.0,11.0
91,1_VID_20231026_123736025__f005987__t005.jpg,20.04256439,702.2021484,331.3613281,1116.508057,0.900494039,950.6566932,DEM,6,1,6,2.0,1.0,1.0,8.0,2.0,8.0,9.0
92,1_VID_20231026_123736025__f006132__t005.jpg,32.44009018,795.149292,461.7675171,1156.372803,0.905855238,949.3481682,DEM,7,2,7,2.0,1.0,1.0,9.0,3.0,9.0,10.0
94,1_VID_20231026_123736025__f006242__t005.jpg,32.56420898,827.0161133,453.4034424,1159.738281,0.852304339,819.4324915,DEM,6,2,6,2.0,1.0,1.0,8.0,3.0,8.0,9.0
97,1_VID_20231026_123736025__f006398__t005.jpg,43.81052017,779.8535767,481.0756836,1132.386353,0.903490245,951.6452837,DEM,7,2,7,2.0,1.0,1.0,9.0,3.0,9.0,10.0
99,1_VID_20231026_123736025__f006488__t005.jpg,86.19443512,727.0770874,512.1322632,1080.065308,0.871312022,902.7780842,DEM,7,2,7,2.0,1.0,1.0,9.0,3.0,9.0,10.0
101,1_VID_20231026_123736025__f006604__t002.jpg,513.9442749,510.0791931,871.9768677,1051.897583,0.930788219,953.2729167,DEM,5,4,5,2.0,1.0,1.0,7.0,5.0,9.0,10.0
102,1_VID_20231026_123736025__f006661__t005.jpg,99.81510925,736.4626465,507.5079346,1072.933838,0.869545162,947.822206,DEM,7,2,7,2.0,1.0,1.0,9.0,3.0,9.0,10.0
105,1_VID_20231026_123736025__f006795__t005.jpg,206.7989044,749.0933838,555.4428711,1088.146606,0.855865836,996.5968543,DEM,6,2,6,2.0,1.0,1.0,8.0,3.0,8.0,9.0
108,1_VID_20231026_123736025__f006923__t005.jpg,253.2451935,725.9624634,538.9056396,1078.62561,0.85716182,1004.480902,DEM,5,2,4,2.0,1.0,1.0,7.0,3.0,7.0,8.0
112,1_VID_20231026_123736025__f007159__t005.jpg,182.3348236,715.8629761,591.434082,1084.488403,0.89117974,935.2260531,DEM,5,4,5,2.0,1.0,1.0,7.0,5.0,9.0,10.0
115,1_VID_20231026_123736025__f007400__t005.jpg,294.903595,723.4046631,661.6948242,1153.246826,0.906878531,987.2108069,DEM,6,2,6,2.0,1.0,1.0,8.0,3.0,8.0,9.0
120,1_VID_20231026_123736025__f007682__t005.jpg,311.7766113,737.87323,658.5790405,1119.262695,0.869368076,1016.345708,DEM,6,2,6,2.0,1.0,1.0,8.0,3.0,8.0,9.0
121,1_VID_20231026_123736025__f007786__t005.jpg,209.5681915,728.0862427,558.5944214,1110.111694,0.895838618,941.2810061,DEM,6,2,6,2.0,1.0,1.0,8.0,3.0,8.0,9.0
124,1_VID_20231026_123736025__f007932__t005.jpg,209.5701904,724.1973877,599.0681763,1094.214111,0.855574906,879.4689495,DEM,7,2,7,2.0,1.0,1.0,9.0,3.0,9.0,10.0
125,1_VID_20231026_123736025__f007949__t002.jpg,759.9072266,572.5800171,999.6724854,1089.754028,0.894265771,923.5775515,DEM,5,1,4,2.0,1.0,1.0,7.0,2.0,7.0,8.0
126,1_VID_20231026_123736025__f008046__t005.jpg,68.58603668,797.7230835,407.3623657,1143.204834,0.890249014,853.9110855,DEM,6,1,6,2.0,1.0,1.0,8.0,2.0,8.0,9.0
128,1_VID_20231026_123736025__f008135__t005.jpg,54.55750656,809.3117676,419.0585022,1152.37793,0.876382947,896.2476649,DEM,6,1,6,2.0,1.0,1.0,8.0,2.0,8.0,9.0
129,1_VID_20231026_123736025__f008151__t002.jpg,658.7828979,626.6884766,912.1887817,1130.249756,0.880541027,910.9842331,DEM,4,4,4,2.0,1.0,1.0,6.0,5.0,8.0,9.0
133,1_VID_20231026_123736025__f008388__t002.jpg,635.715332,677.2422485,879.5091553,1159.403931,0.894269168,941.1220607,DEM,5,4,5,2.0,1.0,1.0,7.0,5.0,9.0,10.0
135,1_VID_20231026_123736025__f008478__t002.jpg,460.2515869,648.1738281,769.8419189,1164.799194,0.919168472,851.6409152,DEM,4,4,4,2.0,1.0,1.0,6.0,5.0,8.0,9.0
137,1_VID_20231026_123736025__f008568__t002.jpg,482.6730347,630.6055908,827.0147705,1156.555054,0.915230453,943.1984572,DEM,6,4,7,2.0,1.0,1.0,8.0,5.0,10.0,11.0
139,1_VID_20231026_123736025__f008658__t002.jpg,589.3305054,644.6140747,940.3563232,1153.614746,0.906551778,866.2873828,DEM,6,4,7,2.0,1.0,1.0,8.0,5.0,10.0,11.0
142,1_VID_20231026_123736025__f008758__t005.jpg,143.0800781,854.5595093,488.4824829,1178.39502,0.85789752,936.4661151,DEM,7,2,7,2.0,1.0,1.0,9.0,3.0,9.0,10.0
143,1_VID_20231026_123736025__f008878__t005.jpg,75.44731903,802.3184814,479.6019897,1135.660889,0.802976668,892.1654855,DEM,6,2,6,2.0,1.0,1.0,8.0,3.0,8.0,9.0
144,1_VID_20231026_123736025__f008914__t002.jpg,684.3400269,546.664917,1003.661682,1092.509521,0.927305043,828.2596298,DEM,6,4,7,2.0,1.0,1.0,8.0,5.0,10.0,11.0
146,1_VID_20231026_123736025__f009004__t002.jpg,691.1497803,498.7718506,1018.156311,1041.043213,0.925703943,886.3333604,DEM,6,4,7,2.0,1.0,1.0,8.0,5.0,10.0,11.0
148,1_VID_20231026_124349435__f000029__t002.jpg,611.1937256,235.9562988,804.737793,823.8667603,0.88568294,160.930694,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
150,1_VID_20231026_124349435__f000039__t004.jpg,1172.12146,298.3139038,1393.022339,807.635437,0.893731833,179.7003238,DEM,5,4,5,2.0,1.0,1.0,7.0,5.0,9.0,10.0
152,1_VID_20231026_124349435__f000058__t007.jpg,161.9408264,240.6082764,383.7176514,852.5101929,0.804866076,116.7249685,DEM,6,2,6,2.0,1.0,1.0,8.0,3.0,8.0,9.0
154,1_VID_20231026_124349435__f000068__t002.jpg,620.9980469,228.2706299,805.9680176,820.0120239,0.857702315,129.681862,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
155,1_VID_20231026_124349435__f000070__t007.jpg,160.687149,233.6511383,369.9341736,805.7614136,0.809209645,131.3025125,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
156,1_VID_20231026_124349435__f000074__t002.jpg,611.7558594,224.763504,795.9909058,817.8500366,0.86768043,134.101309,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
159,1_VID_20231026_124349435__f000115__t010.jpg,257.1850281,274.5779724,484.75354,839.762207,0.782155514,125.1585397,DEM,4,2,4,2.0,1.0,1.0,6.0,3.0,6.0,7.0
160,1_VID_20231026_124349435__f000115__t007.jpg,114.029747,222.2380066,349.8592834,810.4030151,0.757030606,125.1585397,DEM,5,1,4,2.0,1.0,1.0,7.0,2.0,7.0,8.0
163,1_VID_20231026_124349435__f000129__t004.jpg,1128.404053,265.346405,1332.666992,774.6999512,0.867999017,126.2749874,DEM,3,4,3,2.0,1.0,1.0,5.0,5.0,6.0,7.0
164,1_VID_20231026_124349435__f000146__t005.jpg,1466.29187,225.3255157,1651.400024,735.5031738,0.86440742,125.7845398,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
165,1_VID_20231026_124349435__f000148__t007.jpg,215.102829,208.8419647,435.4692078,761.5808105,0.571357667,124.4938774,DEM,4,2,4,2.0,1.0,1.0,6.0,3.0,6.0,7.0
167,1_VID_20231026_124349435__f000158__t002.jpg,674.3399658,162.1690063,872.7123413,748.2072754,0.85304004,117.90193,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
174,1_VID_20231026_124349435__f000219__t004.jpg,1226.388794,236.8360443,1446.312378,744.2108154,0.878630996,124.2539069,DEM,3,4,3,2.0,1.0,1.0,5.0,5.0,6.0,7.0
175,1_VID_20231026_124349435__f000236__t005.jpg,1448.727295,230.7729492,1618.901245,758.8895264,0.880768538,118.577673,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
178,1_VID_20231026_124349435__f000248__t002.jpg,585.7095337,207.1181488,800.2868042,777.015564,0.832526743,126.3403589,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
183,1_VID_20231026_124349435__f000309__t004.jpg,1122.605591,218.8542175,1356.41626,712.5980835,0.905975759,118.6361484,DEM,4,4,4,2.0,1.0,1.0,6.0,5.0,8.0,9.0
188,1_VID_20231026_124349435__f000338__t002.jpg,565.2995605,196.9237061,788.5205688,769.0478516,0.839995563,156.1282434,DEM,3,2,3,2.0,1.0,1.0,5.0,3.0,4.0,5.0
192,1_VID_20231026_124349435__f000385__t010.jpg,294.1490173,391.8092957,560.5171509,807.8743286,0.893622339,195.6208656,DEM,4,4,4,2.0,1.0,1.0,6.0,5.0,8.0,9.0
193,1_VID_20231026_124349435__f000399__t004.jpg,1146.120605,272.7734375,1377.661255,761.0369263,0.900758564,222.1167136,DEM,4,4,4,2.0,1.0,1.0,6.0,5.0,8.0,9.0
194,1_VID_20231026_124349435__f000413__t014.jpg,98.86647034,247.4691315,375.2679443,925.6646729,0.871153235,218.3035036,DEM,5,4,5,2.0,1.0,1.0,7.0,5.0,9.0,10.0
195,1_VID_20231026_124349435__f000416__t005.jpg,1365.293213,243.081543,1545.569458,752.8723145,0.836217701,218.9155271,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
197,1_VID_20231026_124349435__f000422__t014.jpg,82.20027924,238.5022278,355.2988281,928.1276855,0.848982096,219.664445,DEM,3,2,3,2.0,1.0,1.0,5.0,3.0,4.0,5.0
199,1_VID_20231026_124349435__f000428__t002.jpg,519.3603516,228.8823547,720.6230469,782.0286865,0.879440844,222.299071,DEM,5,2,4,2.0,1.0,1.0,7.0,3.0,7.0,8.0
202,1_VID_20231026_124349435__f000467__t014.jpg,30.01779556,205.1706696,286.9637146,899.8648071,0.788790822,217.9698199,DEM,3,4,3,2.0,1.0,1.0,5.0,5.0,6.0,7.0
204,1_VID_20231026_124349435__f000489__t004.jpg,1061.369507,217.5984955,1292.580322,715.3290405,0.912507355,215.0304478,DEM,5,4,5,2.0,1.0,1.0,7.0,5.0,9.0,10.0
206,1_VID_20231026_124349435__f000506__t005.jpg,1302.430786,202.4123993,1471.469238,710.0110474,0.873949587,165.2518689,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
209,1_VID_20231026_124349435__f000518__t002.jpg,539.8525391,170.3675079,740.1624146,725.9168701,0.871660173,161.6311567,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
214,1_VID_20231026_124349435__f000568__t010.jpg,681.0946045,265.7234192,866.8185425,837.9221802,0.876865625,185.4937385,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
217,1_VID_20231026_124349435__f000594__t017.jpg,433.4619141,321.4906616,691.1435547,936.3551636,0.69298929,150.3506187,DEM,3,2,3,2.0,1.0,1.0,5.0,3.0,4.0,5.0
218,1_VID_20231026_124349435__f000599__t004.jpg,1411.10437,297.1123352,1634.544678,826.0113525,0.912298441,164.7587767,DEM,5,2,4,2.0,1.0,1.0,7.0,3.0,7.0,8.0
219,1_VID_20231026_124349435__f000608__t016.jpg,64.26224518,430.5675659,374.3421631,1016.802124,0.73131305,146.7117183,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
220,1_VID_20231026_124349435__f000639__t017.jpg,211.8396301,208.1207123,442.9649048,856.5182495,0.700323105,112.8195614,DEM,3,2,3,2.0,1.0,1.0,5.0,3.0,4.0,5.0
221,1_VID_20231026_124349435__f000652__t005.jpg,1452.463989,138.7783203,1642.970703,538.1568604,0.783349097,109.3877139,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
222,1_VID_20231026_124349435__f000664__t018.jpg,820.1325073,158.9365387,1006.119202,696.953064,0.848573029,126.8243835,DEM,3,2,3,2.0,1.0,1.0,5.0,3.0,4.0,5.0
223,1_VID_20231026_124349435__f000673__t004.jpg,1207.144043,151.5024109,1428.561035,680.6404419,0.901652813,131.7432488,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
225,1_VID_20231026_124349435__f000684__t017.jpg,237.6411133,197.819809,441.631897,748.9075317,0.632579029,124.4171452,DEM,3,4,3,2.0,1.0,1.0,5.0,5.0,6.0,7.0
230,1_VID_20231026_124349435__f000742__t005.jpg,1621.014893,218.8660278,1806.189819,579.934021,0.809655309,121.141493,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
234,1_VID_20231026_124349435__f000754__t018.jpg,1001.831787,260.5522766,1191.513916,798.5826416,0.86229378,143.376421,DEM,4,2,4,2.0,1.0,1.0,6.0,3.0,6.0,7.0
235,1_VID_20231026_124349435__f000763__t004.jpg,1362.258789,246.1394958,1532.997192,803.4596558,0.848277807,153.6998601,DEM,3,2,3,2.0,1.0,1.0,5.0,3.0,4.0,5.0
236,1_VID_20231026_124349435__f000764__t010.jpg,501.1816101,297.8744812,733.993103,881.6536255,0.839769185,153.388763,DEM,4,1,3,2.0,1.0,1.0,6.0,2.0,6.0,7.0
242,1_VID_20231026_124349435__f000803__t016.jpg,73.71253204,461.7859802,404.5191345,1006.432983,0.815586984,130.9903009,DEM,5,2,4,2.0,1.0,1.0,7.0,3.0,7.0,8.0
243,1_VID_20231026_124349435__f000832__t005.jpg,1567.242188,277.6593628,1754.003906,655.052002,0.736029685,133.2208515,DEM,3,2,3,2.0,1.0,1.0,5.0,3.0,4.0,5.0
245,1_VID_20231026_124349435__f000841__t021.jpg,345.244873,272.0983887,570.2850342,879.9867554,0.580975473,126.1512873,DEM,4,2,4,2.0,1.0,1.0,6.0,3.0,6.0,7.0
246,1_VID_20231026_124349435__f000844__t018.jpg,967.5304565,259.9085388,1165.75415,772.8365479,0.871335745,121.7719275,DEM,3,2,3,2.0,1.0,1.0,5.0,3.0,4.0,5.0
247,1_VID_20231026_124349435__f000853__t004.jpg,1350.411377,217.2572174,1541.84436,745.3171387,0.877602935,129.689986,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
248,1_VID_20231026_124349435__f000854__t010.jpg,510.5477295,229.9655457,715.8903198,817.9979248,0.866507351,130.3275152,DEM,3,4,3,2.0,1.0,1.0,5.0,5.0,6.0,7.0
250,1_VID_20231026_124349435__f000886__t021.jpg,321.8022461,271.4706421,571.9324951,943.1025391,0.82639879,135.9606249,DEM,4,2,4,2.0,1.0,1.0,6.0,3.0,6.0,7.0
251,1_VID_20231026_124349435__f000893__t016.jpg,0.0,371.6783142,281.6540527,993.4903564,0.89509517,109.8658945,DEM,5,1,4,2.0,1.0,1.0,7.0,2.0,7.0,8.0
252,1_VID_20231026_124349435__f000922__t005.jpg,1543.120361,224.8182373,1756.072388,570.6888428,0.703054726,129.6920402,DEM,2,2,2,2.0,1.0,1.0,4.0,3.0,4.0,5.0
253,1_VID_20231026_124349435__f000922__t021.jpg,263.7503052,209.1776276,557.4778442,937.8934326,0.839375317,129.6920402,DEM,4,2,4,2.0,1.0,1.0,6.0,3.0,6.0,7.0
254,1_VID_20231026_124349435__f000931__t021.jpg,268.3018188,281.9412537,553.8640137,934.8051758,0.87622422,130.1399248,DEM,4,4,4,2.0,1.0,1.0,6.0,5.0,8.0,9.0
255,1_VID_20231026_124349435__f000934__t018.jpg,989.4068604,236.9656982,1181.442505,745.0987549,0.858770549,107.2500075,DEM,4,4,4,2.0,1.0,1.0,6.0,5.0,8.0,9.0
256,1_VID_20231026_124349435__f000943__t004.jpg,1352.962158,215.8225555,1550.493164,732.1582642,0.881365716,128.454342,DEM,4,2,4,2.0,1.0,1.0,6.0,3.0,6.0,7.0
257,1_VID_20231026_124349435__f000944__t010.jpg,482.8464355,213.8911438,678.4162598,813.347229,0.830041528,107.1270994,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
259,1_VID_20231026_124349435__f000983__t016.jpg,35.56235504,319.1223145,319.988678,938.019043,0.840154707,125.275015,DEM,3,2,3,2.0,1.0,1.0,5.0,3.0,4.0,5.0
261,1_VID_20231026_124349435__f001012__t005.jpg,1565.082886,201.3239136,1746.702026,637.3258057,0.864284396,123.0050975,DEM,3,1,2,2.0,1.0,1.0,5.0,2.0,4.0,5.0
262,1_VID_20231026_124349435__f001024__t018.jpg,978.1008301,215.0927887,1166.796143,725.2583008,0.846729815,113.7831245,DEM,4,4,4,2.0,1.0,1.0,6.0,5.0,8.0,9.0
